Assigned_Role_Id,Route_Destination_Id,Distance,Platoon_Destination_Id,Platoon_Number,Max_Platoon_Size,Platoon_Size,Distance_to_platoon,Weather_condition,Truck_load,Truck_load_limit,Timeout
0,1,400,1,1,1,1,200,1,20,20,0
0,1,400,1,1,2,2,100,1,10,20,0
0,1,400,1,1,3,3,100,1,20,20,0
1,1,400,0,0,0,0,0,1,10,20,0
2,1,400,1,1,2,1,2,1,20,20,0
0,1,100,2,1,2,2,500,1,10,20,0
2,1,400,1,1,2,1,50,1,20,20,0
2,1,400,1,1,3,1,10,1,10,20,0
2,1,400,1,1,3,2,2,1,15,20,0
0,1,400,1,1,3,3,40,1,10,20,0
2,1,400,1,1,2,3,2,1,10,20,0
1,1,400,1,0,0,0,4,1,12,20,0
0,1,100,2,1,2,1,40,1,14,20,0
0,1,100,2,1,2,3,20,1,10,20,0
0,1,100,2,1,2,3,30,1,20,20,0
0,1,10,3,1,5,2,12,2,10,20,0
1,1,10,3,1,5,2,12,2,10,20,1
1,1,10,3,1,5,2,12,2,10,10,1
1,1,10,3,1,5,2,12,2,10,15,1
1,1,10,3,1,5,2,12,2,10,20,1
1,1,10,3,1,5,2,12,2,15,20,1
1,1,10,3,1,5,2,12,2,20,20,1
1,1,10,3,1,5,2,12,2,15,20,1